DMS_id,consensus_spearman,PoET_spearman,Progen2_medium_spearman,n_legal_models
A4_HUMAN_Seuma_2022_indels,0.5226469200503101,-0.08472057151010721,0.4783001771230956,23
AMFR_HUMAN_Tsuboyama_2023_4G3O_indels,0.28002869822146387,0.7015315679839349,0.5124533561120351,23
ARGR_ECOLI_Tsuboyama_2023_1AOY_indels,0.7375151655592037,0.5753324024042256,0.6028373100196304,23
B1LPA6_ECOSM_Russ_2020_indels,0.3982186876474054,0.4431481152060841,0.3804194815399998,23
BBC1_YEAST_Tsuboyama_2023_1TG0_indels,0.6332462577353317,0.6507836756069278,0.5478447362186561,23
BCHB_CHLTE_Tsuboyama_2023_2KRU_indels,0.158034796011854,0.47242629052796564,0.26163189342736803,23
BLAT_ECOLX_Gonzalez_2019_indels,0.55318502736441,0.5790134627514559,0.6190249302818812,23
CAPSD_AAV2S_Sinai_2021_designed_indels,0.6186481260311805,0.6364217052296844,-0.46565578013940706,23
CAPSD_AAV2S_Sinai_2021_library_indels,0.2580324637414846,0.22955446791293993,-0.09974751845656983,23
CATR_CHLRE_Tsuboyama_2023_2AMI_indels,0.43427261918322585,0.5442019909024987,0.3370658831137439,23
CBPA2_HUMAN_Tsuboyama_2023_1O6X_indels,0.4643765659639966,0.4544747948907244,0.41006254265855047,23
CBX4_HUMAN_Tsuboyama_2023_2K28_indels,0.28402479333761266,0.5001677101967801,0.23398367620751345,23
CSN4_MOUSE_Tsuboyama_2023_1UFM_indels,0.7049108759479619,0.40527763841460446,0.7817750732330997,23
CUE1_YEAST_Tsuboyama_2023_2MYX_indels,0.4745582586850474,0.6584679976383635,0.3513590343530647,23
DN7A_SACS2_Tsuboyama_2023_1JIC_indels,0.3067609053987674,0.30196555507847905,0.3623538953294213,23
DNJA1_HUMAN_Tsuboyama_2023_2LO1_indels,0.43908597933180143,0.3199282439705003,0.33172356843873685,23
DOCK1_MOUSE_Tsuboyama_2023_2M0Y_indels,0.6963865457192238,0.6231844057271003,0.5957712117104907,23
EPHB2_HUMAN_Tsuboyama_2023_1F0M_indels,0.494242525614727,0.42992305068041403,0.44322808081573867,23
FECA_ECOLI_Tsuboyama_2023_2D1U_indels,0.3834238276539124,0.3604391458789594,0.49397902088563644,23
HCP_LAMBD_Tsuboyama_2023_2L6Q_indels,0.683590904940673,0.7074743556047488,0.4510267012663945,23
HECD1_HUMAN_Tsuboyama_2023_3DKM_indels,0.5094856513906935,0.6822658682241225,0.5671981402531687,23
HIS7_YEAST_Pokusaeva_2019_indels,0.699508897051911,0.6617675806898773,0.7018088493843356,23
ILF3_HUMAN_Tsuboyama_2023_2L33_indels,0.5397580004052163,0.711492107793387,0.4031368516639068,23
KCNJ2_MOUSE_Macdonald_2022_indels,0.4519893700855029,0.46349906711398986,0.43217496070464007,23
MAFG_MOUSE_Tsuboyama_2023_1K1V_indels,0.301808777379096,0.005357847392093427,0.3693837291880376,23
MBD11_ARATH_Tsuboyama_2023_6ACV_indels,0.5245464518380821,0.5034110927240699,0.6704211818715635,23
MYO3_YEAST_Tsuboyama_2023_2BTT_indels,0.5924002860262272,0.3424519456165026,0.53300515705579,23
NKX31_HUMAN_Tsuboyama_2023_2L9R_indels,0.7442014113878881,0.5064776169263849,0.705554355701335,23
NUSA_ECOLI_Tsuboyama_2023_1WCL_indels,0.2087805961811,0.5605211490768807,0.22679457150730228,23
NUSG_MYCTU_Tsuboyama_2023_2MI6_indels,-0.03378228042822263,0.321944442721674,-0.03883365686961591,23
OBSCN_HUMAN_Tsuboyama_2023_1V1C_indels,0.7546439195519724,0.7327358162199793,0.8150788125901248,23
ODP2_GEOSE_Tsuboyama_2023_1W4G_indels,0.8396160962072157,0.6603839037927844,0.8808973172987975,23
OTU7A_HUMAN_Tsuboyama_2023_2L2D_indels,0.508337636328943,0.49199149539333803,0.4816239748911613,23
P53_HUMAN_Kotler_2018_indels,0.5217328605840698,0.4999654993962394,0.4282977583686662,23
PIN1_HUMAN_Tsuboyama_2023_1I6C_indels,0.8071733741865005,0.7914804645187294,0.6336650124694562,23
PITX2_HUMAN_Tsuboyama_2023_2L7M_indels,0.5550220950085699,0.058715101380209495,0.689827511276956,23
PKN1_HUMAN_Tsuboyama_2023_1URF_indels,0.8186274239943903,0.7977695726696494,0.8091988152345858,23
POLG_PESV_Tsuboyama_2023_2MXD_indels,0.3803213150136939,0.6692037003446399,0.25258117177580264,23
PR40A_HUMAN_Tsuboyama_2023_1UZC_indels,0.6114582621545647,0.40194167877263237,0.6769301633419552,23
PSAE_PICP2_Tsuboyama_2023_1PSE_indels,0.34319173531184394,0.5096999552171966,0.34527765338110167,23
PTEN_HUMAN_Mighell_2018_indels,0.7343358072981822,0.7939096535624892,0.5520857861876562,23
Q8EG35_SHEON_Campbell_2022_indels,0.5159586646263027,0.4532806221147708,0.40310701618619726,23
RAD_ANTMA_Tsuboyama_2023_2CJJ_indels,0.7180183438138034,0.3000078897538397,0.7218598779718072,23
RCD1_ARATH_Tsuboyama_2023_5OAO_indels,0.13663657993397293,0.18084028324154208,0.30586309992132177,23
RD23A_HUMAN_Tsuboyama_2023_1IFY_indels,0.7861705433905581,0.5627960275019097,0.7332384193346759,23
RPC1_BP434_Tsuboyama_2023_1R69_indels,0.6490647194348366,0.36551358263164335,0.6439514099547018,23
RS15_GEOSE_Tsuboyama_2023_1A32_indels,0.2717208270330752,0.12759850319172353,0.32779881135813344,23
S22A1_HUMAN_Yee_2023_abundance_indels,0.43974965228334634,0.4534580898204299,0.49645504767719195,23
S22A1_HUMAN_Yee_2023_activity_indels,0.526268443257374,0.5339581232424822,0.597309477187599,23
SAV1_MOUSE_Tsuboyama_2023_2YSB_indels,0.734249108472778,0.7468371149582528,0.6998726355016747,23
SDA_BACSU_Tsuboyama_2023_1PV0_indels,0.5011768600222091,0.7563683445819273,0.32702357517810277,23
SOX30_HUMAN_Tsuboyama_2023_7JJK_indels,0.6036632548635594,0.4506069873042351,0.6304049671022148,23
SPG2_STRSG_Tsuboyama_2023_5UBS_indels,0.479189591150049,0.5021081895482663,0.44368968338287607,23
SPTN1_CHICK_Tsuboyama_2023_1TUD_indels,0.6033410713068719,0.6474843470483006,0.6931909660107336,23
SQSTM_MOUSE_Tsuboyama_2023_2RRU_indels,0.571154664601253,0.3593629343629343,0.4713320463320463,23
SR43C_ARATH_Tsuboyama_2023_2N88_indels,0.6397065637895031,0.5036045263876696,0.34375670666276464,23
SRBS1_HUMAN_Tsuboyama_2023_2O2W_indels,0.7374304337709496,0.7787098417079442,0.6765091960537882,23
TCRG1_MOUSE_Tsuboyama_2023_1E0L_indels,0.6034298295095574,0.8074211502782932,0.6570686456400743,23
THO1_YEAST_Tsuboyama_2023_2WQG_indels,0.6839172407788334,0.6219022431188168,0.7877036601691318,23
TNKS2_HUMAN_Tsuboyama_2023_5JRT_indels,0.28822295888650257,0.17337221302229586,0.33261333909328733,23
UBE4B_HUMAN_Tsuboyama_2023_3L1X_indels,0.17820098944675616,0.1716484446425738,0.1870131243908152,23
UBR5_HUMAN_Tsuboyama_2023_1I2T_indels,0.4386936786027468,0.43057957041930733,0.37656430276113856,23
VG08_BPP22_Tsuboyama_2023_2GP8_indels,0.6870511767803001,0.6328945835760046,0.5774839836924869,23
VILI_CHICK_Tsuboyama_2023_1YU5_indels,0.7061255648340042,0.5865783692370912,0.7931342953327749,23
VRPI_BPT7_Tsuboyama_2023_2WNM_indels,0.3841638422647951,0.556378093759498,0.3875354247270756,23
YNZC_BACSU_Tsuboyama_2023_2JVD_indels,0.5853540136284657,0.5039901845727089,0.745876453643444,23
